zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all,perc_sleep18,perc_sleep20,perc_sleep22,borough,neighborhood
10022,33586,30115,24844,452,14,3946,0,63,796,3471,28679,359,225,1893,1629,635,10369,13569,28095,23938,18153,3.6,0.9,5.2,2.9,4.5,6.7,7.6,13.5,12.6,42.4,161236,281977,33579,99.0,83.5,31.8,1.0,4.9,5.7,31.7,26.8,30.1,Manhattan,Midtown East
10023,65706,59349,44442,3220,8,9178,0,640,1861,6357,52617,403,831,3213,3402,994,19693,24081,51383,43774,35742,4.4,2.7,3.5,3.5,4.8,9.5,8.7,12.7,10.9,39.4,151468,256121,65693,96.8,84.0,26.4,3.2,2.4,7.1,33.2,28,31.3,Manhattan,Upper West Side
10024,62774,55247,47078,1599,37,4049,0,267,2217,7527,49806,1242,726,2566,3114,919,18061,23178,47838,41239,29472,4.7,3.1,2.6,3.0,4.5,7.3,6.7,15.2,11.5,41.4,166994,287414,62180,97.9,82.7,28.4,2.1,5.5,8.3,33.3,28.1,30.5,Manhattan,Upper West Side
10025,96988,74118,51711,9022,71,9540,0,381,3393,22870,72928,3385,3354,7340,7815,1940,20984,28110,66189,49094,41653,7.5,3.7,6.5,5.5,5.5,8.8,9.6,15.7,7.7,29.4,106916,185788,95995,95.9,75.8,32.9,4.1,7.6,14.5,36,30.5,33.6,Manhattan,Upper West Side
10026,38265,30670,8366,18201,21,2393,0,184,1505,7595,27690,1381,1772,5908,3721,1129,7474,6305,24537,13779,15237,6.8,7.5,6.7,8.2,10.7,14.3,8.5,13.7,7.7,16.1,68831,117438,38187,94.2,61.9,38.1,5.8,13.3,19.8,44.4,38.4,41.3,Manhattan,Central Harlem
10027,65806,49315,17453,22327,204,5858,1,728,2744,16491,42580,2294,3131,8304,5335,1859,10778,10879,37155,21657,24387,12.3,6.7,10.3,5.3,8.4,12.4,10.2,12.7,6.4,15.2,63125,112696,65691,94.7,63.6,37.8,5.3,20.2,24.3,42.3,36.2,40.3,Manhattan,Central Harlem
10028,45717,42345,36371,693,0,3896,0,157,1228,3372,37597,458,109,2319,2962,986,12981,17782,37030,30763,24440,3.0,1.9,3.2,3.2,3.3,8.4,9.2,16.3,10.2,41.3,160244,270845,45697,98.0,89.1,23.0,2.0,1.2,5.0,32.6,27.4,30.1,Manhattan,Upper East Side
10029,75614,41094,11279,18941,42,8153,9,1188,1482,34520,55086,7818,5125,13643,7665,2558,10469,7808,42143,18277,33406,14.3,14.4,12.4,8.5,10.1,13.6,6.7,7.4,4.6,8.0,35640,73594,74858,93.3,49.4,54.4,6.7,31.3,30.9,42.5,36.5,40.9,Manhattan,East Harlem
10030,31268,21995,2780,16818,7,1134,3,307,946,9273,23150,2434,2589,4942,3756,1294,4321,3814,18127,8135,13097,9.5,12.4,11.5,9.6,8.7,15.0,11.7,10.6,3.3,7.7,47765,77559,31237,91.9,52.4,49.4,8.1,24.1,30.6,46.8,40.9,43.9,Manhattan,Central Harlem
10031,61044,29944,10534,14431,0,2458,0,442,2079,31100,47467,5827,4502,8403,7999,1665,11351,7720,37138,19071,22037,8.1,6.9,9.0,6.6,9.6,13.9,11.9,14.0,9.1,11.0,64807,94723,61005,91.4,53.7,42.8,8.6,20.4,21.0,42.1,35.9,40,Manhattan,Hamilton Heights
10032,60480,20770,8843,7712,32,2706,4,237,1236,39710,46094,7844,4071,8114,6677,2358,10432,6598,34179,17030,22285,7.1,9.4,8.5,7.6,9.9,21.6,10.7,12.4,6.8,5.9,56752,80334,60256,90.9,50.4,50.2,9.1,17.6,20.0,40.6,34.5,38,Manhattan,Washington Heights
10033,58711,19263,13708,2088,104,1940,0,291,1132,39448,43653,6015,4116,7773,5910,2844,9377,7618,33522,16995,20521,8.2,4.6,8.4,6.8,7.0,13.9,11.9,18.6,7.5,13.0,77209,119149,58698,91.1,53.0,44.8,8.9,13.1,16.3,38.5,32.3,36.9,Manhattan,Washington Heights
10034,41570,12891,7926,2376,39,1387,0,178,985,28679,30717,3757,2795,5573,4774,1449,6831,5538,24165,12369,15879,7.5,6.6,10.3,5.0,11.9,15.4,11.7,15.2,9.1,7.3,65109,87559,41553,93.0,56.4,47.0,7.0,14.4,15.1,40,33.8,37.4,Manhattan,Inwood
10035,38595,21991,5033,14179,27,1295,9,119,1329,16604,27304,3172,3619,7415,3595,1419,4769,3315,20513,8084,14833,16.1,13.8,12.2,7.0,8.3,10.7,9.2,9.7,6.6,6.3,36989,70127,37802,92.6,42.6,55.0,7.4,27.6,35.3,45.6,39.5,43.1,Manhattan,East Harlem
10036,30930,24567,15593,2053,40,4943,33,143,1762,6363,26043,865,1083,2551,2851,1207,10341,7145,24095,17486,18916,5.9,3.7,8.6,5.4,10.1,9.7,6.2,17.0,11.2,22.4,102287,148933,30885,97.2,75.9,29.1,2.8,3.8,12.5,37.1,30.9,35.9,Manhattan,Midtown West
10037,19138,15355,1845,12067,25,727,0,144,547,3783,14386,876,990,3350,1962,908,3638,2662,12520,6300,10103,16.8,6.7,10.3,6.3,9.9,13.6,10.1,12.4,6.3,7.6,50177,79169,18921,94.7,61.3,44.2,5.3,23.8,27.4,45.4,40,43,Manhattan,East Harlem
10038,23343,20751,10086,2268,45,6695,39,579,1039,2592,16829,1666,1309,1734,1203,687,6525,3705,13854,10230,10646,8.9,6.9,6.9,3.4,6.5,7.6,10.1,13.2,9.3,27.2,99641,151912,23322,96.9,70.0,32.9,3.1,18.5,20.6,37.6,31.2,34.1,Manhattan,Financial District
10039,29887,20105,1997,16337,40,567,0,331,833,9782,20839,2099,1687,5329,4168,1437,3649,2470,17053,6119,12177,10.4,6.2,12.1,7.1,13.0,17.0,12.2,11.8,6.2,3.9,51904,71332,29887,92.8,50.7,50.4,7.2,24.7,26.3,46.6,41.1,45.4,Manhattan,Central Harlem
10040,43653,12314,8924,1251,29,789,5,528,788,31339,32333,4218,3277,6893,4433,1483,6687,5342,24838,12029,16541,8.1,6.7,9.4,7.1,12.7,15.3,11.3,16.1,5.4,8.0,59115,84402,42746,92.6,52.5,49.2,7.4,16.0,18.3,39.1,33,37.2,Manhattan,Washington Heights
10044,11846,10579,5052,1511,0,3413,0,141,462,1267,9072,364,352,1182,513,393,2176,4092,8356,6268,5039,6.5,2.3,3.9,4.1,3.8,13.3,11.7,15.2,13.7,25.4,120759,157427,10990,96.6,79.2,25.5,3.4,8.2,10.1,37.1,31.3,34.1,Manhattan,Roosevelt Island
10065,30859,28229,22341,761,0,4226,0,82,819,2630,24164,304,101,1199,1480,376,9797,10907,23759,20704,16113,3.4,2.6,2.8,2.3,5.3,9.1,5.8,16.6,11.6,40.6,158276,262771,30856,98.6,88.1,25.1,1.4,2.9,7.0,32.4,27.1,29.9,Manhattan,Upper East Side
10069,6259,5708,2713,104,0,2075,0,739,77,551,4683,0,0,475,32,111,1752,2313,4683,4065,3142,13.5,0.8,2.8,6.3,3.2,6.6,7.9,5.9,6.0,47.1,197680,292930,6259,95.4,76.5,22.9,4.6,17.0,23.9,36.3,30.5,33.1,Manhattan,Lincoln Square
10075,23920,22079,18798,538,85,1743,74,0,841,1841,18721,86,242,1626,992,569,6250,8956,18393,15206,12839,4.7,4.3,3.5,2.9,4.9,12.1,5.4,15.0,11.4,35.8,140736,282991,23411,96.4,85.6,24.8,3.6,8.5,11.0,32.5,27.4,30.4,Manhattan,Upper East Side
10128,56695,48660,38389,2931,17,5094,15,579,1635,8035,45485,938,1047,3831,2486,2235,15493,19455,43500,34948,29328,5.6,3.8,4.1,4.4,4.5,7.6,9.4,15.9,10.5,34.1,137253,224663,56651,95.3,81.0,27.9,4.7,7.1,9.5,33.8,28.3,31.7,Manhattan,Upper East Side
