zcta5,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba
10461,36027,3472,3360,10083,5607,3758,6066,3681,29195,9747
10462,51876,4231,4447,15465,8278,5039,9543,4873,43198,14416
10463,50071,3887,4534,9617,7409,3338,10781,10505,41650,21286
10464,3468,29,135,711,284,423,878,1008,3304,1886
10465,31189,2272,2171,8392,6802,2419,5634,3499,26746,9133
10466,48817,3544,5969,15327,8018,4120,7433,4406,39304,11839
10467,66270,8117,8741,19041,10968,5120,8709,5574,49412,14283
10468,52353,7373,7432,16033,9759,3876,5028,2852,37548,7880
10469,49816,3662,5032,13811,8874,4396,8721,5320,41122,14041
10470,11579,593,1044,3159,1687,638,3237,1221,9942,4458
10471,16424,581,821,2304,2278,814,4265,5361,15022,9626
10472,41079,7599,5512,12939,6321,2880,4225,1603,27968,5828
10473,40539,5020,4967,9774,7947,3774,5618,3439,30552,9057
10474,6787,761,906,2455,1263,376,597,429,5120,1026
10475,31179,1286,3324,9079,6286,3190,4854,3160,26569,8014
10501,1045,0,18,88,30,123,393,393,1027,786
10502,3896,1,101,509,180,131,1208,1766,3794,2974
10503,94,0,0,0,0,7,16,71,94,87
10504,5404,25,96,441,218,287,2146,2191,5283,4337
10505,808,9,30,198,101,0,241,229,769,470
10506,3996,40,6,218,238,78,1491,1925,3950,3416
10507,4422,647,405,769,640,169,877,915,3370,1792
10509,14418,586,692,3426,2439,1086,3842,2347,13140,6189
10510,7403,208,106,676,615,443,2450,2905,7089,5355
10511,1620,22,34,399,277,139,512,237,1564,749
10512,17949,502,791,4946,2671,1413,4306,3320,16656,7626
10514,8157,82,3,286,521,284,2560,4421,8072,6981
10516,4180,46,99,619,524,339,1288,1265,4035,2553
10517,289,38,4,70,32,6,103,36,247,139
10518,603,23,0,28,82,12,319,139,580,458
10519,43,0,0,0,0,0,43,0,43,43
10520,9061,220,248,1310,1251,652,2700,2680,8593,5380
10522,7427,270,114,691,1010,312,1892,3138,7043,5030
10523,6499,375,208,1339,1110,435,1957,1075,5916,3032
10524,3226,97,28,708,536,170,671,1016,3101,1687
10526,1306,7,17,77,136,43,433,593,1282,1026
10527,450,0,4,45,52,5,134,210,446,344
10528,8949,40,262,1384,1339,902,3037,1985,8647,5022
10530,11096,170,448,1312,1264,604,3846,3452,10478,7298
10532,3625,185,142,704,444,298,863,989,3298,1852
10533,4737,0,81,276,255,344,1391,2390,4656,3781
10535,201,0,6,0,5,0,44,146,195,190
10536,7430,121,71,707,568,348,2875,2740,7238,5615
10537,1971,80,41,354,275,168,547,506,1850,1053
10538,11648,147,64,848,676,469,4171,5273,11437,9444
10540,9,0,0,0,9,0,0,0,9,0
10541,17943,407,646,4346,3107,1945,4297,3195,16890,7492
10542,0,0,0,0,0,0,0,0,0,0
10543,14835,923,837,2532,1752,665,4485,3641,13075,8126
10545,190,6,20,27,0,12,11,114,164,125
10546,673,0,0,27,24,32,258,332,673,590
10547,5404,150,226,1123,995,407,1321,1182,5028,2503
10548,2866,73,139,628,520,230,801,475,2654,1276
10549,11295,894,390,1615,893,575,2872,4056,10011,6928
10550,28436,1812,3329,8371,6359,2118,3536,2911,23295,6447
10552,16615,1028,647,2743,2609,1288,4538,3762,14940,8300
10553,7901,601,875,1056,1221,871,2164,1113,6425,3277
10560,3684,41,66,491,469,198,1461,958,3577,2419
10562,24882,2003,1425,4763,3847,1591,5137,6116,21454,11253
10566,18772,1139,1318,4341,3395,1620,4062,2897,16315,6959
10567,13786,281,423,2839,2214,1010,3269,3750,13082,7019
10570,8425,241,116,835,703,261,3010,3259,8068,6269
10573,28188,3050,1823,6017,3624,1894,6637,5143,23315,11780
10576,3563,5,26,359,189,186,1582,1216,3532,2798
10577,2027,18,51,109,136,108,1019,586,1958,1605
10578,1132,0,0,153,119,7,666,187,1132,853
10579,5813,153,98,1275,1303,454,1378,1152,5562,2530
10580,11390,46,127,678,691,489,4119,5240,11217,9359
10583,27497,231,312,2129,1632,1289,8556,13348,26954,21904
10588,2217,76,132,342,287,149,714,517,2009,1231
10589,5836,134,66,727,855,471,1544,2039,5636,3583
10590,5112,61,8,640,560,313,1924,1606,5043,3530
10591,17269,1318,1188,2371,2229,830,4391,4942,14763,9333
10594,3843,134,99,688,533,413,1086,890,3610,1976
10595,5191,210,352,1233,731,379,1392,894,4629,2286
10596,639,10,45,252,83,42,132,75,584,207
10597,431,21,0,25,8,23,97,257,410,354
10598,20706,688,489,3240,2700,1831,6484,5274,19529,11758
10601,8603,440,453,1035,1081,672,2485,2437,7710,4922
10603,13946,849,739,2927,1684,989,3538,3220,12358,6758
10604,7686,335,512,1628,1007,469,1888,1847,6839,3735
10605,14678,409,765,1877,1253,910,4064,5400,13504,9464
10606,11632,954,689,2430,1647,708,2460,2744,9989,5204
10607,4953,356,263,1040,406,495,1156,1237,4334,2393
10701,46168,4825,4832,11645,7487,4042,7793,5544,36511,13337
10703,16313,1254,1775,4304,2737,1505,2489,2249,13284,4738
10704,22999,1361,1630,6471,3641,1328,4643,3925,20008,8568
10705,26658,3266,2620,6828,4061,2038,4249,3596,20772,7845
10706,6493,182,100,667,656,248,1888,2752,6211,4640
10707,7652,294,138,840,1085,300,2432,2563,7220,4995
10708,15734,163,425,1733,2084,1083,4550,5696,15146,10246
10709,6569,177,199,1081,701,305,2072,2034,6193,4106
10710,19330,704,862,4520,3163,1525,5185,3371,17764,8556
10801,27670,2688,1701,6879,3416,2207,4853,5926,23281,10779
10803,8414,106,141,904,744,439,2607,3473,8167,6080
10804,10032,197,95,797,770,394,3052,4727,9740,7779
10805,15400,1627,1424,3770,1951,1356,2917,2355,12349,5272
10901,16843,656,796,3391,2416,1306,4326,3952,15391,8278
10910,0,0,0,0,0,0,0,0,0,0
10911,12,0,0,6,0,0,6,0,12,6
10913,3449,45,115,746,512,278,954,799,3289,1753
10914,199,0,0,48,25,108,4,14,199,18
10915,0,0,0,0,0,0,0,0,0,0
10916,2894,64,50,708,642,247,673,510,2780,1183
10917,1114,28,72,97,161,207,289,260,1014,549
10918,8295,60,277,2077,1735,869,1953,1324,7958,3277
10919,1015,4,120,159,130,128,417,57,891,474
10920,5796,140,181,935,1038,562,1709,1231,5475,2940
10921,2941,77,69,922,532,377,559,405,2795,964
10922,923,0,57,267,317,58,99,125,866,224
10923,5680,432,110,1414,1260,469,1477,518,5138,1995
10924,9773,289,499,2692,1391,883,2084,1935,8985,4019
10925,3290,9,313,976,641,280,716,355,2968,1071
10926,2687,84,73,780,412,279,621,438,2530,1059
10927,8173,1023,691,2562,1035,829,1388,645,6459,2033
10928,3721,55,281,1207,535,274,778,591,3385,1369
10930,6481,117,295,1287,1256,871,1317,1338,6069,2655
10931,669,42,58,257,74,63,84,91,569,175
10932,43,0,13,22,8,0,0,0,30,0
10933,208,0,0,84,51,0,31,42,208,73
10940,34756,2386,2342,10964,6525,4449,4618,3472,30028,8090
10941,9984,441,334,3038,2149,1260,1772,990,9209,2762
10950,27731,915,3510,7988,5845,2028,4563,2882,23306,7445
10952,20218,889,2228,5889,5073,928,2901,2310,17101,5211
10953,0,0,0,0,0,0,0,0,0,0
10954,19688,830,1153,3836,3205,1586,5578,3500,17705,9078
10956,21842,620,725,3203,2651,1738,7369,5536,20497,12905
10958,2084,40,344,621,315,247,295,222,1700,517
10960,10540,208,495,1460,1538,596,2781,3462,9837,6243
10962,3917,185,243,547,520,275,1113,1034,3489,2147
10963,3306,108,633,929,531,427,392,286,2565,678
10964,1146,35,5,131,134,63,393,385,1106,778
10965,10543,484,575,1967,1701,743,2610,2463,9484,5073
10968,2058,79,62,156,97,248,753,663,1917,1416
10969,645,21,0,162,197,79,140,46,624,186
10970,7775,507,484,1627,990,540,1887,1740,6784,3627
10973,1560,25,28,383,207,243,421,253,1507,674
10974,2327,34,87,586,322,234,543,521,2206,1064
10975,170,0,0,66,20,62,22,0,170,22
10976,1202,31,44,177,210,141,268,331,1127,599
10977,34495,3833,3461,10172,6548,2127,4618,3736,27201,8354
10979,0,0,0,0,0,0,0,0,0,0
10980,9732,268,533,2590,1632,1182,1681,1846,8931,3527
10983,4183,140,132,578,461,262,1505,1105,3911,2610
10984,2236,57,96,656,321,108,658,340,2083,998
10985,36,0,24,0,6,0,6,0,12,6
10986,1118,24,45,291,165,172,195,226,1049,421
10987,2918,39,92,567,442,273,758,747,2787,1505
10988,420,14,9,123,69,74,26,105,397,131
10989,6761,104,145,1063,877,732,2142,1698,6512,3840
10990,15135,308,475,3688,2498,1231,4495,2440,14352,6935
10992,6531,234,393,2061,1308,575,1252,708,5904,1960
10993,3491,68,328,1122,954,349,436,234,3095,670
10994,4645,144,78,688,616,307,1635,1177,4423,2812
10996,1864,15,7,96,203,40,619,884,1842,1503
10998,2241,29,142,473,383,247,527,440,2070,967
11001,18513,943,645,3631,2283,1195,5830,3986,16925,9816
11003,34070,2041,2316,8762,6937,2842,7216,3956,29713,11172
11004,12052,917,679,2398,1568,700,3233,2557,10456,5790
11005,2175,43,0,255,394,39,591,853,2132,1444
11010,18218,999,650,4864,3107,1495,3837,3266,16569,7103
11020,4070,116,98,757,424,213,1092,1370,3856,2462
11021,14575,402,415,1924,1544,681,4509,5100,13758,9609
11023,5949,75,245,843,384,440,1867,2095,5629,3962
11024,4977,207,317,1049,624,231,1413,1136,4453,2549
11030,11819,152,159,848,679,366,4511,5104,11508,9615
11040,30081,1006,1141,5755,3880,1946,9884,6469,27934,16353
11042,317,60,30,174,12,0,12,29,227,41
11050,22049,573,421,2455,2572,1127,7461,7440,21055,14901
11096,6067,928,679,1638,1009,420,845,548,4460,1393
11101,26873,1624,1138,4144,2065,1111,9112,7679,24111,16791
11102,21370,1605,527,3940,1860,1267,7478,4693,19238,12171
11103,28012,2144,915,5561,2760,1718,9611,5303,24953,14914
11104,20849,1073,555,4183,2803,1787,6101,4347,19221,10448
11105,30070,1770,1416,5236,3498,2244,10091,5815,26884,15906
11106,30987,2197,1460,5935,3937,1706,9631,6121,27330,15752
11109,5601,0,60,360,407,69,2261,2444,5541,4705
11201,51970,1411,1114,4263,3354,1223,19291,21314,49445,40605
11203,58061,3009,4041,20458,10729,4951,9573,5300,51011,14873
11204,50138,8254,5061,13754,5126,2720,10092,5131,36823,15223
11205,28897,1810,2532,5083,3126,1390,9172,5784,24555,14956
11206,55837,6934,6652,13683,7274,2928,12846,5520,42251,18366
11207,65333,6118,6336,23505,11059,5782,8996,3537,52879,12533
11208,69606,6113,6239,34228,8244,4088,7614,3080,57254,10694
11209,52698,3134,2433,9144,6968,3189,15752,12078,47131,27830
11210,42996,2027,2667,9950,7838,3790,10282,6442,38302,16724
11211,45303,3821,3416,7886,4453,1984,16245,7498,38066,23743
11212,57864,4687,9069,20865,9950,4184,6667,2442,44108,9109
11213,45911,3510,4576,11307,8418,3462,8802,5836,37825,14638
11214,64450,10602,4870,16947,6623,4766,13133,7509,48978,20642
11215,53202,1286,1147,3389,2998,2053,19808,22521,50769,42329
11216,48194,1951,2639,9035,5455,2869,16242,10003,43604,26245
11217,33129,1280,1397,2577,2722,1398,12276,11479,30452,23755
11218,48645,3567,3438,9294,5428,2693,12521,11704,41640,24225
11219,47448,8394,5893,17431,4562,1591,6727,2850,33161,9577
11220,62775,14168,9637,15727,4655,2986,9823,5779,38970,15602
11221,65129,4840,5233,15786,8866,3838,17249,9317,55056,26566
11222,32781,1216,1052,4220,3642,1420,13688,7543,30513,21231
11223,52591,7182,4787,14368,5621,2978,10806,6849,40622,17655
11224,35071,2773,3452,10647,3490,2826,6521,5362,28846,11883
