zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic
10509,19832,14654,12947,436,0,646,0,388,237,5178
10510,10435,9294,7856,178,0,704,0,81,475,1141
10511,2281,1865,1508,129,6,109,0,47,66,416
10512,24256,20122,18126,738,79,341,14,165,659,4134
10514,12867,12212,9724,440,0,1507,3,101,437,655
10516,5585,5222,4820,208,2,60,0,0,132,363
10517,417,316,269,14,0,33,0,0,0,101
10518,830,768,685,0,0,83,0,0,0,62
10519,122,122,0,0,0,122,0,0,0,0
10520,12662,10944,9729,484,2,361,0,22,346,1718
10522,11508,9971,7767,253,0,1397,0,70,484,1537
10523,9389,6137,2661,2279,43,876,0,21,257,3252
10524,4344,4001,3660,92,0,70,0,44,135,343
10526,1939,1892,1624,2,0,187,0,24,55,47
10527,608,495,475,20,0,0,0,0,0,113
10528,13352,11616,9499,490,0,1315,0,31,281,1736
10530,14090,12475,9357,1125,0,1548,0,48,397,1615
10532,5040,4738,4340,67,0,280,0,4,47,302
10533,7388,6678,5476,73,0,642,0,98,389,710
10535,214,140,140,0,0,0,0,0,0,74
10536,10797,9774,8727,202,36,520,0,24,265,1023
10537,2961,2654,1957,396,0,301,0,0,0,307
10538,17605,15959,13777,611,20,855,0,236,460,1646
10540,114,85,56,22,0,0,0,0,7,29
10541,26116,21822,20550,253,0,510,0,129,380,4294
10542,0,0,0,0,0,0,0,0,0,0
10543,21281,15873,13391,848,93,953,0,141,447,5408
10545,203,170,133,13,0,11,0,13,0,33
10546,1022,920,694,2,0,213,0,0,11,102
10547,7665,6025,4439,1117,0,314,0,0,155,1640
10548,4446,3525,3181,224,0,25,0,0,95,921
10549,15800,11524,10004,675,0,578,0,35,232,4276
10550,40073,33053,2853,27586,380,448,0,752,1034,7020
10552,22099,17989,7322,8236,0,884,0,490,1057,4110
10553,10526,9144,1085,7499,0,43,0,286,231,1382
10560,4975,4515,4241,44,0,125,0,10,95,460
10562,33538,21481,15341,3387,0,1575,0,308,870,12057
10566,25401,14923,9085,4807,18,459,0,34,520,10478
10567,20069,16499,13244,1469,12,854,13,46,861,3570
10570,13168,11907,10235,561,0,643,0,55,413,1261
10573,41139,20626,15714,2161,0,1537,0,606,608,20513
10576,4927,4587,4202,129,0,127,0,8,121,340
10577,6145,5224,4068,479,0,363,0,0,314,921
10578,1788,831,465,11,0,355,0,0,0,957
10579,8171,7131,6575,205,0,114,0,29,208,1040
10580,18077,16774,13986,306,21,1336,0,295,830,1303
10583,41107,37750,26799,1135,26,7968,0,360,1462,3357
10588,3296,2749,2226,36,0,456,0,0,31,547
10589,7159,6824,6491,27,34,203,0,0,69,335
10590,7407,6885,6249,111,19,250,0,23,233,522
10591,23912,15444,12383,807,0,1369,0,127,758,8468
10594,5565,5050,4546,16,0,345,0,9,134,515
10595,7213,6274,4799,763,7,428,0,21,256,939
10596,796,657,503,60,0,1,0,0,93,139
10597,642,498,463,0,0,13,0,0,22,144
10598,29066,25781,21982,1690,6,1257,49,356,441,3285
10601,11193,8165,4978,1664,0,1281,0,90,152,3028
10603,19239,12981,6737,4277,14,1172,0,424,357,6258
10604,11799,8771,7095,735,0,272,0,321,348,3028
10605,19800,15855,12193,1662,0,1226,0,157,617,3945
10606,16429,9754,5481,2552,0,1344,0,150,227,6675
10607,6764,4515,1966,1629,0,756,0,0,164,2249
10701,68032,33951,15524,14272,178,1958,0,1015,1004,34081
10703,23565,13925,8566,4115,8,786,0,182,268,9640
10704,32438,22889,17193,2079,18,2136,0,854,609,9549
10705,38861,16454,7142,6364,0,1772,0,235,941,22407
10706,9068,8237,7141,93,0,658,0,90,255,831
10707,10209,8356,6492,413,0,1204,0,7,240,1853
10708,22595,18984,15724,1425,0,1001,6,87,741,3611
10709,10085,9355,8066,121,0,997,0,0,171,730
10710,26099,18858,10171,4415,309,3374,0,87,502,7241
10801,41724,26376,12422,10294,67,2548,0,193,852,15348
10803,13283,11815,9317,863,0,894,0,135,606,1468
10804,15036,13513,10873,1630,0,657,0,48,305,1523
10805,20736,12599,8084,2942,10,1174,0,140,249,8137
10901,25498,22315,18075,2263,27,1130,0,140,680,3183
10910,0,0,0,0,0,0,0,0,0,0
10911,12,12,6,6,0,0,0,0,0,0
10913,5286,4860,4212,165,0,262,0,0,221,426
10914,384,384,312,0,0,0,0,0,72,0
10915,0,0,0,0,0,0,0,0,0,0
10916,4445,3643,3297,24,0,85,0,36,201,802
10917,1969,1211,898,72,0,201,0,0,40,758
10918,12152,10244,8439,627,0,625,0,38,515,1908
10919,1256,492,378,24,0,59,0,0,31,764
10920,8605,6917,5443,139,0,1034,0,42,259,1688
10921,4268,3455,3015,232,60,68,0,32,48,813
10922,1289,1166,976,97,0,93,0,0,0,123
10923,8419,4539,2910,1070,0,472,0,0,87,3880
10924,13965,11267,10196,455,11,380,0,22,203,2698
10925,4466,3808,3433,76,0,180,0,0,119,658
10926,3909,2773,1856,483,0,345,0,53,36,1136
10927,12286,5436,2431,2403,0,393,0,18,191,6850
10928,5208,3764,2324,909,0,238,0,95,198,1444
10930,10326,7722,5777,563,0,936,0,54,392,2604
10931,1131,755,438,176,45,62,0,5,29,376
10932,43,26,26,0,0,0,0,0,0,17
10933,401,376,376,0,0,0,0,0,0,25
10940,51853,34886,20671,10226,0,2108,11,441,1429,16967
10941,14502,11629,7113,2750,100,793,0,127,746,2873
10950,63011,55104,51275,1669,28,798,0,352,982,7907
10952,47509,45819,41474,3230,0,491,26,73,525,1690
10953,0,0,0,0,0,0,0,0,0,0
10954,27587,21818,14564,3105,15,3360,0,125,649,5769
10956,30738,25810,18568,2376,39,3932,0,16,879,4928
10958,2925,2448,1923,431,0,18,0,6,70,477
10960,14222,12012,7876,2730,0,710,7,53,636,2210
10962,5125,4308,2979,303,0,884,0,18,124,817
10963,4347,3700,2694,630,7,196,0,26,147,647
10964,1525,1406,1170,35,0,201,0,0,0,119
10965,15666,13087,11990,183,12,668,0,14,220,2579
10968,2474,2340,1834,208,0,229,0,55,14,134
10969,999,846,838,0,0,8,0,0,0,153
10970,11571,8284,5241,1514,1,1038,0,183,307,3287
10973,2388,1936,1661,132,0,61,0,0,82,452
10974,3335,2892,2379,174,0,142,0,17,180,443
10975,246,84,31,53,0,0,0,0,0,162
10976,2056,1920,1435,166,0,218,0,1,100,136
10977,70555,55075,38735,12635,0,1873,0,667,1165,15480
10979,0,0,0,0,0,0,0,0,0,0
10980,13702,10746,8602,1481,0,368,0,97,198,2956
10983,5670,5107,4300,105,0,582,0,37,83,563
10984,3079,2351,1966,225,0,121,0,18,21,728
10985,42,18,18,0,0,0,0,0,0,24
10986,1529,1356,1246,51,0,42,0,0,17,173
10987,3809,3367,2826,256,0,59,0,55,171,442
10988,683,612,550,33,0,0,0,0,29,71
10989,8651,7683,5723,684,0,1155,0,24,97,968
10990,20527,18876,17362,666,22,265,0,115,446,1651
10992,10284,7152,5995,764,10,98,0,79,206,3132
10993,4738,2240,1241,637,36,144,0,90,92,2498
10994,6357,5330,3832,610,0,836,0,0,52,1027
10996,6386,5697,4422,374,9,264,7,30,591,689
10998,3548,2988,2725,201,0,0,0,34,28,560
11001,26138,21905,13279,1436,127,6364,0,298,401,4233
11003,47515,37739,6708,20158,18,7767,0,784,2304,9776
11004,15702,13780,4052,840,0,8072,1,516,299,1922
11005,2175,2150,2084,0,0,66,0,0,0,25
11010,25751,21727,17028,864,81,2789,0,288,677,4024
11020,6145,5796,2220,1037,0,2425,0,0,114,349
11021,19623,17972,11837,294,162,5183,0,194,302,1651
11023,9699,9549,7629,8,0,1343,0,333,236,150
11024,9105,7690,7127,109,0,303,5,0,146,1415
11030,17168,16038,11645,240,0,3556,0,179,418,1130
11040,42140,37081,16711,416,176,18059,0,362,1357,5059
11042,317,290,196,82,0,12,0,0,0,27
11050,31920,27304,22626,450,64,3435,0,67,662,4616
11096,9567,5404,2883,1615,0,787,0,84,35,4163
11101,34279,27260,11878,3473,0,9720,0,380,1809,7019
11102,27069,20112,12428,1862,189,4155,0,490,988,6957
11103,34752,25501,18603,799,0,4577,0,98,1424,9251
11104,26939,19588,10537,673,23,7242,9,99,1005,7351
11105,38756,29853,23322,1483,32,3274,0,132,1610,8903
11106,40198,29452,16511,2825,66,7889,6,445,1710,10746
11109,7280,6722,3659,39,0,2400,0,17,607,558
11201,69755,62050,40092,7982,38,9889,0,353,3696,7705
11203,78506,73118,3963,63037,92,1382,22,308,4314,5388
11204,80575,71447,42909,427,463,24490,14,995,2149,9128
11205,50319,43212,26235,10595,94,3781,10,447,2050,7107
11206,89949,57366,31956,17106,0,5765,0,355,2184,32583
11207,96801,65024,5094,54090,29,1422,1,1556,2832,31777
11208,108180,66007,2724,49528,0,8720,256,1721,3058,42173
11209,71812,57634,43362,2202,49,9681,20,302,2018,14178
11210,63426,58685,18806,32713,16,3658,0,765,2727,4741
11211,65511,48475,39225,3101,103,3942,0,392,1712,17036
11212,84006,67641,2918,58854,97,659,42,509,4562,16365
11213,69131,59265,15697,39145,8,1086,7,888,2434,9866
11214,90796,74814,36406,1490,163,33263,8,695,2789,15982
11215,72014,61159,48203,2576,24,6539,0,368,3449,10855
11216,62373,53914,18755,27510,33,2898,23,708,3987,8459
11217,43045,36824,22259,7093,29,3894,0,363,3186,6221
11218,73318,61329,37725,6502,22,13016,0,663,3401,11989
11219,92283,80188,55168,1260,215,20262,0,2591,692,12095
11220,93008,54996,13974,1545,349,37855,0,194,1079,38012
11221,91236,62937,18069,36226,39,4620,82,507,3394,28299
11222,40137,33879,27937,1056,23,1985,0,258,2620,6258
11223,80113,68206,39171,3956,68,21845,0,1080,2086,11907
11224,47893,38572,22825,9642,168,4541,0,12,1384,9321
11225,58476,52146,15995,31411,17,1915,0,504,2304,6330
11226,101053,86030,13797,63841,353,3186,0,667,4186,15023
11228,44196,38589,21904,404,24,15507,0,41,709,5607
11229,81109,73946,46946,4677,144,19383,56,162,2578,7163
11230,90245,79601,53293,7399,19,14362,48,1132,3348,10644
11231,38829,33017,23474,4369,66,2107,458,322,2221,5812
11232,28137,13401,6363,1675,14,4345,14,79,911,14736
11233,83125,70064,9908,55482,416,1045,26,181,3006,13061
11234,89976,81972,32017,38322,129,7307,0,765,3432,8004
11235,83069,75512,56390,2007,14,12332,0,435,4334,7557
11236,100082,90966,3761,79640,23,2474,9,652,4407,9116
11237,47183,20936,11395,4045,149,3089,0,599,1659,26247
11238,58047,49925,27508,14327,108,3830,0,287,3865,8122
11239,16808,14134,2528,10378,19,444,0,202,563,2674
11249,45087,36155,27862,3520,0,2569,0,126,2078,8932
11354,53371,46164,7633,1450,157,35514,258,312,840,7207
11355,79495,66684,5601,1941,178,57690,49,465,760,12811
11356,27632,16103,6490,126,0,9052,38,169,228,11529
11357,42792,36454,24006,145,72,11116,94,212,809,6338
11358,37647,31237,11610,267,54,18062,0,170,1074,6410
11359,0,0,0,0,0,0,0,0,0,0
11360,19719,17679,10829,236,0,6077,0,249,288,2040
11361,29544,25181,11427,1099,56,11906,0,266,427,4363
11362,18426,16726,6907,465,0,9010,0,83,261,1700
11363,7365,6450,3779,23,64,2276,0,25,283,915
11364,38124,31859,11524,614,166,18512,0,98,945,6265
11365,46424,36565,10303,5180,49,19985,0,176,872,9859
11366,13659,11747,4626,665,0,5781,0,185,490,1912
11367,43286,35299,18456,3000,86,11826,0,544,1387,7987
11368,112750,27221,5004,8372,143,12633,0,518,551,85529
11369,32177,13296,2463,5234,32,4779,6,83,699,18881
11370,28164,17464,7001,2992,113,6912,0,55,391,10700
11371,0,0,0,0,0,0,0,0,0,0
11372,67001,31903,12277,1688,0,15327,66,378,2167,35098
11373,102618,59229,4932,1541,293,50304,42,371,1746,43389
11374,47230,36779,17651,1642,35,14280,25,505,2641,10451
