zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
10025,41653,7.5,3.7,6.5,5.5,5.5,8.8,9.6,15.7,7.7,29.4,106916,185788,95995,95.9,75.8,32.9,4.1,7.6,14.5
10026,15237,6.8,7.5,6.7,8.2,10.7,14.3,8.5,13.7,7.7,16.1,68831,117438,38187,94.2,61.9,38.1,5.8,13.3,19.8
10027,24387,12.3,6.7,10.3,5.3,8.4,12.4,10.2,12.7,6.4,15.2,63125,112696,65691,94.7,63.6,37.8,5.3,20.2,24.3
10028,24440,3.0,1.9,3.2,3.2,3.3,8.4,9.2,16.3,10.2,41.3,160244,270845,45697,98.0,89.1,23.0,2.0,1.2,5.0
10029,33406,14.3,14.4,12.4,8.5,10.1,13.6,6.7,7.4,4.6,8.0,35640,73594,74858,93.3,49.4,54.4,6.7,31.3,30.9
10030,13097,9.5,12.4,11.5,9.6,8.7,15.0,11.7,10.6,3.3,7.7,47765,77559,31237,91.9,52.4,49.4,8.1,24.1,30.6
10031,22037,8.1,6.9,9.0,6.6,9.6,13.9,11.9,14.0,9.1,11.0,64807,94723,61005,91.4,53.7,42.8,8.6,20.4,21.0
10032,22285,7.1,9.4,8.5,7.6,9.9,21.6,10.7,12.4,6.8,5.9,56752,80334,60256,90.9,50.4,50.2,9.1,17.6,20.0
10033,20521,8.2,4.6,8.4,6.8,7.0,13.9,11.9,18.6,7.5,13.0,77209,119149,58698,91.1,53.0,44.8,8.9,13.1,16.3
10034,15879,7.5,6.6,10.3,5.0,11.9,15.4,11.7,15.2,9.1,7.3,65109,87559,41553,93.0,56.4,47.0,7.0,14.4,15.1
10035,14833,16.1,13.8,12.2,7.0,8.3,10.7,9.2,9.7,6.6,6.3,36989,70127,37802,92.6,42.6,55.0,7.4,27.6,35.3
10036,18916,5.9,3.7,8.6,5.4,10.1,9.7,6.2,17.0,11.2,22.4,102287,148933,30885,97.2,75.9,29.1,2.8,3.8,12.5
10037,10103,16.8,6.7,10.3,6.3,9.9,13.6,10.1,12.4,6.3,7.6,50177,79169,18921,94.7,61.3,44.2,5.3,23.8,27.4
10038,10646,8.9,6.9,6.9,3.4,6.5,7.6,10.1,13.2,9.3,27.2,99641,151912,23322,96.9,70.0,32.9,3.1,18.5,20.6
10039,12177,10.4,6.2,12.1,7.1,13.0,17.0,12.2,11.8,6.2,3.9,51904,71332,29887,92.8,50.7,50.4,7.2,24.7,26.3
10040,16541,8.1,6.7,9.4,7.1,12.7,15.3,11.3,16.1,5.4,8.0,59115,84402,42746,92.6,52.5,49.2,7.4,16.0,18.3
10044,5039,6.5,2.3,3.9,4.1,3.8,13.3,11.7,15.2,13.7,25.4,120759,157427,10990,96.6,79.2,25.5,3.4,8.2,10.1
10065,16113,3.4,2.6,2.8,2.3,5.3,9.1,5.8,16.6,11.6,40.6,158276,262771,30856,98.6,88.1,25.1,1.4,2.9,7.0
10069,3142,13.5,0.8,2.8,6.3,3.2,6.6,7.9,5.9,6.0,47.1,197680,292930,6259,95.4,76.5,22.9,4.6,17.0,23.9
10075,12839,4.7,4.3,3.5,2.9,4.9,12.1,5.4,15.0,11.4,35.8,140736,282991,23411,96.4,85.6,24.8,3.6,8.5,11.0
10103,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10110,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10111,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10112,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
